video_path,source_frame,driving_frame
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#005153#005367.mp4,93,135
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#005153#005367.mp4,143,215
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#005153#005367.mp4,51,158
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#005153#005367.mp4,124,78
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#005153#005367.mp4,140,162
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#006572#006772.mp4,229,203
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#006572#006772.mp4,206,180
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#006572#006772.mp4,174,91
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#006572#006772.mp4,230,86
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#006572#006772.mp4,86,85
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001076#001150.mp4,12,32
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001076#001150.mp4,21,64
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001076#001150.mp4,65,37
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001076#001150.mp4,37,13
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001076#001150.mp4,62,17
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001150#001267.mp4,128,92
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001150#001267.mp4,0,74
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001150#001267.mp4,69,45
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001150#001267.mp4,21,6
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#001150#001267.mp4,19,70
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002009#002086.mp4,29,37
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002009#002086.mp4,12,85
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002009#002086.mp4,79,40
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002009#002086.mp4,74,32
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002009#002086.mp4,20,49
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002368#002474.mp4,107,3
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002368#002474.mp4,60,111
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002368#002474.mp4,110,104
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002368#002474.mp4,13,109
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#FL2UicCNcwI#002368#002474.mp4,2,27
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#000605#000886.mp4,242,214
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#000605#000886.mp4,107,20
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#000605#000886.mp4,174,134
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#000605#000886.mp4,92,113
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#000605#000886.mp4,263,269
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#001059#001210.mp4,177,87
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#001059#001210.mp4,144,65
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#001059#001210.mp4,68,115
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#001059#001210.mp4,10,126
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#001059#001210.mp4,57,52
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002098#002175.mp4,36,90
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002098#002175.mp4,78,60
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002098#002175.mp4,51,73
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002098#002175.mp4,7,27
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002098#002175.mp4,81,4
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002209#002570.mp4,389,302
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002209#002570.mp4,299,259
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002209#002570.mp4,333,26
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002209#002570.mp4,113,217
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#002209#002570.mp4,190,284
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006609#006906.mp4,308,28
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006609#006906.mp4,265,221
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006609#006906.mp4,110,285
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006609#006906.mp4,6,216
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006609#006906.mp4,170,63
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006912#007284.mp4,144,248
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006912#007284.mp4,296,177
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006912#007284.mp4,264,318
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006912#007284.mp4,141,99
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#006912#007284.mp4,367,392
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#007425#007663.mp4,4,11
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#007425#007663.mp4,269,33
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#007425#007663.mp4,106,259
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#007425#007663.mp4,175,103
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#NHARUN9OhSo#007425#007663.mp4,45,153
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000045#000170.mp4,14,131
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000045#000170.mp4,89,99
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000045#000170.mp4,118,149
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000045#000170.mp4,145,77
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000045#000170.mp4,63,147
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000584#000815.mp4,237,205
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000584#000815.mp4,249,45
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000584#000815.mp4,114,174
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000584#000815.mp4,22,97
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#000584#000815.mp4,60,235
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001027#001146.mp4,29,75
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001027#001146.mp4,23,65
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001027#001146.mp4,136,96
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001027#001146.mp4,21,95
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001027#001146.mp4,2,126
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001162#001282.mp4,28,92
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001162#001282.mp4,138,31
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001162#001282.mp4,37,5
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001162#001282.mp4,104,58
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#001162#001282.mp4,21,76
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#002385#002547.mp4,45,184
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#002385#002547.mp4,60,10
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#002385#002547.mp4,143,75
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#002385#002547.mp4,194,14
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#002385#002547.mp4,135,193
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#003515#003915.mp4,393,427
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#003515#003915.mp4,352,398
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#003515#003915.mp4,324,165
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#003515#003915.mp4,353,472
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#003515#003915.mp4,102,313
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004685#004875.mp4,87,181
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004685#004875.mp4,10,139
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004685#004875.mp4,49,31
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004685#004875.mp4,42,163
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004685#004875.mp4,66,62
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004902#005086.mp4,90,189
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004902#005086.mp4,78,109
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004902#005086.mp4,177,74
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004902#005086.mp4,211,38
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#004902#005086.mp4,120,63
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#005216#005364.mp4,67,91
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#005216#005364.mp4,44,67
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#005216#005364.mp4,54,91
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#005216#005364.mp4,53,60
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#005216#005364.mp4,24,174
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006024#006145.mp4,23,143
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006024#006145.mp4,32,143
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006024#006145.mp4,85,134
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006024#006145.mp4,12,102
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006024#006145.mp4,114,137
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006514#006821.mp4,148,169
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006514#006821.mp4,127,102
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006514#006821.mp4,164,117
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006514#006821.mp4,226,283
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006514#006821.mp4,294,273
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006849#007013.mp4,126,139
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006849#007013.mp4,119,129
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006849#007013.mp4,31,105
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006849#007013.mp4,25,116
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#006849#007013.mp4,127,95
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#007321#007504.mp4,122,13
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#007321#007504.mp4,143,151
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#007321#007504.mp4,200,17
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#007321#007504.mp4,135,35
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#ni6gO5jDLJE#007321#007504.mp4,43,200
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#37XQxZ5lBD8#000876#001020.mp4,94,53
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#37XQxZ5lBD8#000876#001020.mp4,77,143
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#37XQxZ5lBD8#000876#001020.mp4,29,73
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#37XQxZ5lBD8#000876#001020.mp4,121,21
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#37XQxZ5lBD8#000876#001020.mp4,51,115
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#000674#000852.mp4,80,118
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#000674#000852.mp4,125,91
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#000674#000852.mp4,38,19
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#000674#000852.mp4,84,22
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#000674#000852.mp4,164,120
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#001226#001390.mp4,103,119
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#001226#001390.mp4,89,48
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#001226#001390.mp4,98,24
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#001226#001390.mp4,141,43
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#IDA_ElNHLn4#001226#001390.mp4,159,4
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#OjG2EYFgubs#002893#002993.mp4,98,55
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#OjG2EYFgubs#002893#002993.mp4,113,47
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#OjG2EYFgubs#002893#002993.mp4,89,78
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#OjG2EYFgubs#002893#002993.mp4,78,0
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#OjG2EYFgubs#002893#002993.mp4,100,109
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000420#000641.mp4,128,143
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000420#000641.mp4,87,202
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000420#000641.mp4,0,158
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000420#000641.mp4,124,39
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000420#000641.mp4,136,132
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000766#000891.mp4,29,16
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10282#qkZNuvX1UNo#000766#000891.mp4,71,75
